2025-04-29 14:23:56,423 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(10), np.int64(8), np.int64(14)) with prob = 0.1331402
2025-04-29 14:23:56,424 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.200, -0.556, 3277.931)
2025-04-29 14:23:56,431 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:23:59,367 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:23:59,385 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 6, 16)
2025-04-29 14:23:59,387 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(11), np.int64(7), np.int64(16)) with prob = 1.0
2025-04-29 14:23:59,391 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 4.7642828662731304e-05
2025-04-29 14:23:59,395 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.724, 0.663, 3747.931)
2025-04-29 14:23:59,396 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.829, 0.914, 150.000)
2025-04-29 14:23:59,397 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.105, -0.251, 3597.931)
2025-04-29 14:23:59,401 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:24:01,487 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:24:01,498 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (10, 7, 16)
2025-04-29 14:24:01,499 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(9), np.int64(8), np.int64(1)) with prob = 0.1799146
2025-04-29 14:24:01,500 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.081, -0.291, 3909.202)
2025-04-29 14:24:01,502 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:27:52,895 | MainThread   | [INFO    ] | populate_views      |:  | Number of observations per grid cell: 18
2025-04-29 14:27:52,901 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Views...
2025-04-29 14:27:55,362 | MainThread   | [INFO    ] | populate_views      |:  | Precaching Time: 2.460 secs
2025-04-29 14:27:55,370 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2025-04-29 14:27:55,372 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2025-04-29 14:28:04,988 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2025-04-29 14:28:04,990 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2025-04-29 14:28:07,966 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:07,989 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2025-04-29 14:28:07,991 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(5), np.int64(4), np.int64(9)) with prob = 0.9940916
2025-04-29 14:28:07,992 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2025-04-29 14:28:07,993 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2025-04-29 14:28:07,994 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, 0.000, 10.000)
2025-04-29 14:28:07,995 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.000, -0.000, 350.000)
2025-04-29 14:28:07,995 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:16,151 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:16,163 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 3, 6)
2025-04-29 14:28:16,171 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(6), np.int64(4), np.int64(7)) with prob = 0.1048422
2025-04-29 14:28:16,173 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.013, -0.090, -10.107)
2025-04-29 14:28:16,177 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:19,114 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:19,133 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 3, 6)
2025-04-29 14:28:19,148 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(4), np.int64(6)) with prob = 1.0
2025-04-29 14:28:19,151 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.023015217075721284
2025-04-29 14:28:19,157 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.291, -0.090, 319.893)
2025-04-29 14:28:19,162 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, 0.000, -50.000)
2025-04-29 14:28:19,164 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.013, -0.090, 369.893)
2025-04-29 14:28:19,167 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:21,238 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:21,246 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 5)
2025-04-29 14:28:21,249 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(7), np.int64(2), np.int64(5)) with prob = 0.0877369
2025-04-29 14:28:21,250 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.088, 0.066, 366.975)
2025-04-29 14:28:21,257 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:24,237 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:24,250 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 5)
2025-04-29 14:28:24,251 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(7), np.int64(2), np.int64(6)) with prob = 1.0
2025-04-29 14:28:24,252 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0826861387566469
2025-04-29 14:28:24,254 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.522, -0.543, 656.975)
2025-04-29 14:28:24,258 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -0.610, -50.000)
2025-04-29 14:28:24,260 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.088, 0.066, 706.975)
2025-04-29 14:28:24,271 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:25,346 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:25,348 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 4)
2025-04-29 14:28:25,349 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(7), np.int64(1), np.int64(6)) with prob = 0.1893513
2025-04-29 14:28:25,350 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.088, 0.371, 684.055)
2025-04-29 14:28:25,351 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:28,313 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:28,329 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 2, 4)
2025-04-29 14:28:28,331 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(7), np.int64(2), np.int64(4)) with prob = 0.9999544
2025-04-29 14:28:28,334 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 3.315118228190988e-24
2025-04-29 14:28:28,340 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.522, -0.543, 993.673)
2025-04-29 14:28:28,347 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.610, -0.610, -90.000)
2025-04-29 14:28:28,351 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.088, 0.066, 1083.673)
2025-04-29 14:28:28,353 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:29,415 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:29,421 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 0, 4)
2025-04-29 14:28:29,422 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(8), np.int64(0), np.int64(4)) with prob = 0.1810841
2025-04-29 14:28:29,422 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.368, 0.290, 1083.673)
2025-04-29 14:28:29,424 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:32,384 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:32,386 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (7, 0, 4)
2025-04-29 14:28:32,387 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(1), np.int64(4)) with prob = 0.7764942
2025-04-29 14:28:32,387 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 2.6505743382324596e-09
2025-04-29 14:28:32,388 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.548, -0.942, 1353.673)
2025-04-29 14:28:32,389 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.914, -90.000)
2025-04-29 14:28:32,389 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.243, -0.028, 1443.673)
2025-04-29 14:28:32,390 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:35,500 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:35,510 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (8, 0, 8)
2025-04-29 14:28:35,512 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(6), np.int64(3), np.int64(10)) with prob = 0.0619673
2025-04-29 14:28:35,515 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.505, -0.783, 1409.615)
2025-04-29 14:28:35,523 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:38,472 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:38,478 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (8, 0, 8)
2025-04-29 14:28:38,479 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(8), np.int64(1), np.int64(9)) with prob = 1.0
2025-04-29 14:28:38,480 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 9.557011044847648e-12
2025-04-29 14:28:38,481 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.810, -1.088, 1799.615)
2025-04-29 14:28:38,482 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.914, -0.914, 10.000)
2025-04-29 14:28:38,482 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.105, -0.174, 1789.615)
2025-04-29 14:28:38,483 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:44,556 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:44,575 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (11, 0, 11)
2025-04-29 14:28:44,576 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(9), np.int64(2), np.int64(12)) with prob = 0.1346155
2025-04-29 14:28:44,577 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (0.382, -0.322, 1778.993)
2025-04-29 14:28:44,579 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-29 14:28:47,516 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-29 14:28:47,518 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (11, 0, 11)
2025-04-29 14:28:47,519 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(10), np.int64(1), np.int64(11)) with prob = 1.0
2025-04-29 14:28:47,519 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.0002215387608652328
2025-04-29 14:28:47,520 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (1.601, -0.932, 2208.993)
2025-04-29 14:28:47,521 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (1.524, -0.914, 50.000)
2025-04-29 14:28:47,521 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (0.077, -0.017, 2158.993)
2025-04-29 14:28:47,522 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
