2025-04-21 22:27:52,000 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-21 22:27:52,001 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-21 22:27:52,001 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-21 22:27:52,001 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 22:27:52,001 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 22:27:52,001 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 22:27:52,001 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 22:28:02,795 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-21 22:28:03,219 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-21 22:28:05,105 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-21 22:28:05,917 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-21 22:28:06,580 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-21 22:28:07,235 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-21 22:28:08,488 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-21 22:28:08,997 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-21 22:28:09,583 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-21 22:28:10,512 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-21 22:28:11,142 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:28:20,993 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:28:21,449 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:28:22,852 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-21 22:28:59,898 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:29:14,876 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-21 22:29:15,436 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-21 22:29:16,115 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-21 22:30:53,708 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-21 22:30:54,238 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-21 22:38:37,851 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-21 22:38:37,852 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-21 22:38:37,852 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-21 22:38:37,852 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-21 22:38:37,852 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-21 22:38:37,852 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-21 22:38:37,852 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-21 22:39:31,949 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-21 22:39:46,179 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-21 22:39:46,711 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-29 14:21:54,118 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-29 14:21:54,123 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-29 14:21:54,123 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-29 14:21:54,123 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-29 14:21:54,123 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-29 14:21:54,123 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-29 14:21:54,123 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-29 14:22:50,275 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 14:24:06,173 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 14:24:22,291 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-29 14:24:22,291 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-29 14:24:22,291 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-29 14:24:22,292 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-29 14:24:22,292 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-29 14:24:22,292 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-29 14:24:22,292 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-29 14:28:04,785 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:38:07,229 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-29 15:38:07,230 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-29 15:38:07,230 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-29 15:38:07,230 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-29 15:38:07,230 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-29 15:38:07,230 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-29 15:38:07,230 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-29 15:42:00,573 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:43:34,604 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:45:31,818 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:46:10,911 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-29 15:46:43,688 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.1 (v3.13.1:06714517797, Dec  3 2024, 14:00:22) [Clang 15.0.0 (clang-1500.3.9.4)]
2025-04-29 15:46:43,688 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-29 15:46:43,689 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-29 15:46:43,689 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-29 15:46:43,689 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
