2025-01-27 14:13:48,028 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 14:13:55,257 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 14:14:00,233 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 14:14:17,820 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-27 14:20:39,371 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 14:20:55,611 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 14:20:58,530 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 14:22:40,356 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-27 14:22:59,534 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-27 14:23:02,523 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-27 14:35:59,731 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:20:01,132 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-28 14:20:01,132 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-01-28 14:20:01,133 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:20:04,372 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 14:34:07,860 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:34:16,502 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:34:21,540 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 14:37:51,003 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-28 14:38:05,525 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:38:09,976 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:38:18,960 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 14:42:50,414 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:43:09,506 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:43:12,696 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 14:46:20,562 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:46:28,795 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:46:33,724 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 14:48:38,119 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:49:06,455 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:49:09,426 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 14:56:31,084 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-28 14:56:46,728 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:56:50,341 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:56:59,350 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 14:58:52,242 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 14:59:12,867 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 14:59:15,793 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 15:00:51,564 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 15:00:59,589 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 15:01:04,812 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 15:04:20,748 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 15:04:23,969 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 15:04:33,343 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 15:07:43,293 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 15:09:21,741 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 15:09:44,716 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 15:09:57,403 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 15:10:32,528 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 15:10:35,508 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 15:10:54,166 | MainThread   | [INFO    ] | _connect            |: Already connected to a BLE device
2025-01-28 15:13:34,054 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-01-28 15:13:39,491 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 15:13:48,621 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 16:20:53,964 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-01-28 16:20:53,965 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-01-28 16:20:53,965 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-01-28 16:20:57,187 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
2025-01-28 16:28:53,726 | MainThread   | [INFO    ] | disconnect_handler  |: Disconnected from 1EFFEDB9-73BA-9396-D724-47E443C12C76
2025-02-03 18:06:24,471 | MainThread   | [DEBUG   ] | __init__            |: Python Info: sys.version_info(major=3, minor=13, micro=1, releaselevel='final', serial=0)
2025-02-03 18:06:24,471 | MainThread   | [DEBUG   ] | __init__            |: System Info: macOS-14.1-arm64-arm-64bit-Mach-O
2025-02-03 18:06:24,472 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-02-03 18:08:51,403 | MainThread   | [INFO    ] | _connect            |: Looking for Artemis Nano Peripheral Device: C0:81:8D:26:04:64
2025-02-03 18:08:54,473 | MainThread   | [INFO    ] | _connect            |: Connected to C0:81:8D:26:04:64
